Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Current and future directions of deep brain stimulation for neurological and psychiatric disorders,Lee D.J.; Lozano C.S.; Dallapiazza R.F.; Lozano A.M. ,"Deep brain stimulation (DBS) has evolved considerably over the past 4 decades. Although it has primarily been used to treat movement disorders such as Parkinson's disease, essential tremor, and dystonia, recently it has been approved to treat obsessive-compulsive disorder and epilepsy. Novel potential indications in both neurological and psychiatric disorders are undergoing active study. There have been significant advances in DBS technology, including preoperative and intraoperative imaging, surgical approaches and techniques, and device improvements. In addition to providing significant clinical benefits and improving quality of life, DBS has also increased the understanding of human electrophysiology and network interactions. Despite the value of DBS, future developments should be aimed at developing less invasive techniques and attaining not just symptom improvement but curative disease modification.Copyright ©AANS 2019.",2019,/,Journal of Neurosurgery,131,2,333-342,,https://dx.doi.org/10.3171/2019.4.JNS181761,2002452852,#72,Lee 2019,"",anorexia; non_specific; obesity; review
Brain Stimulation to Modulate Food Intake and Eating Behavior,Dendy R.; Stinson E.J.; Guerithault N.; Gluck M.E. ,"Purpose of Review: Appetitive behaviors are mediated through homeostatic and reward signaling of brain circuits. There has been increasing interest in the use of neuromodulation techniques aimed at targeting brain regions such as the lateral prefrontal and subcortical regions associated with dysregulation of eating behaviors. Recent Findings: Invasive brain stimulation techniques have demonstrated promising results in treating severe and enduring anorexia nervosa and morbid obesity. In addition, non-invasive techniques have been shown to successfully reduce food craving, hunger ratings, and calorie intake as well as binge/purge symptoms in eating disorders. Summary: Brain stimulation offers promising results for treating symptoms associated with eating disorders and modifying appetitive behaviors including craving and caloric consumption. Future research should focus on identifying optimal frequency and duration of stimulation and employ longitudinal studies to assess long-term effectiveness on clinical outcomes such as eating disorder symptomatology, weight loss, and sustained improvements in eating behaviors over time.Copyright © 2019, This is a U.S. government work and not under copyright protection in the U.S.; foreign copyright protection may apply.",2019,/,Current Diabetes Reports,19,12,152,,https://dx.doi.org/10.1007/s11892-019-1250-2,2003804014,#74,Dendy 2019,"",anorexia; non_specific; obesity; review
Deep Brain Stimulation as a Treatment Approach for Anorexia Nervosa: A Systematic Literature Review,Silva L.J.D.; Naciff T.H.; Oliveira M.F.V.D. ,"Anorexia nervosa is a psychiatric disorder characterized by distortions of body size, weight, and shape perception, as well as by food restriction and/or binge and purging behaviors. It mostly affects young women and causes severe negative impacts on their physical, psychological, and social health. Recent studies have analyzed deep brain stimulation (DBS), a neurosurgical procedure that involves electrode implantation in strategical brain areas, to obtain remission of the symptoms of anorexia nervosa. The results showed that the stimulation of areas associated to the neurocircuitry of anorexia nervosa, such as nucleus accumbens, anterior cingulate cortex, ventral striatum, and bed nucleus of the stria terminalis, provokes beneficial responses in terms of body mass index, quality of life, social functioning, and psychiatric comorbidities. Nevertheless, broader investigations are needed to endorse the clinical usage of DBS in the management of anorexia nervosa.Copyright © 2019 by Thieme Revinter Publicacoes Ltda, Rio de Janeiro, Brazil.",2019,/,Brazilian Neurosurgery,38,3,175-182,,https://dx.doi.org/10.1055/s-0039-1685486,629411647,#76,Silva 2019,"",anorexia; review
Deep brain stimulation: current challenges and future directions,Lozano A.M.; Lipsman N.; Bergman H.; Brown P.; Chabardes S.; Chang J.W.; Matthews K.; McIntyre C.C.; Schlaepfer T.E.; Schulder M.; Temel Y.; Volkmann J.; Krauss J.K. ,"The clinical use of deep brain stimulation (DBS) is among the most important advances in the clinical neurosciences in the past two decades. As a surgical tool, DBS can directly measure pathological brain activity and can deliver adjustable stimulation for therapeutic effect in neurological and psychiatric disorders correlated with dysfunctional circuitry. The development of DBS has opened new opportunities to access and interrogate malfunctioning brain circuits and to test the therapeutic potential of regulating the output of these circuits in a broad range of disorders. Despite the success and rapid adoption of DBS, crucial questions remain, including which brain areas should be targeted and in which patients. This Review considers how DBS has facilitated advances in our understanding of how circuit malfunction can lead to brain disorders and outlines the key unmet challenges and future directions in the DBS field. Determining the next steps in DBS science will help to define the future role of this technology in the development of novel therapeutics for the most challenging disorders affecting the human brain.Copyright © 2019, Springer Nature Limited.",2019,/,Nature Reviews Neurology,15,3,148-160,,https://dx.doi.org/10.1038/s41582-018-0128-2,626130877,#84,Lozano 2019,"",anorexia; non_specific; review
Neuromodulation in eating disorders and obesity: A promising way of treatment?,Jauregui-Lobera I.; Martinez-Quinones J.V. ,"Neuromodulation can affect the functioning of the central nervous system (CNS), and emotional/eating behavior is an exciting facet of that functioning. Therefore, it would be possible to offer an alternative (or complement) treatment to psychotropic medications and different psychological and nutritional approaches to both eating disorders (EDs) and obesity. Although there are a number of publications in these areas, a systematic review has not been conducted to date. Abstracts, letters, conference reports, dissertations, and reviews were excluded. Clinical trials and controlled human clinical trials were filtered and included in this study. Articles included were based on the population suffering from anorexia nervosa, bulimia nervosa, binge ED, overweight, and obesity. No restrictions were placed on the sample size. Only trials investigating the effect of neuromodulation by means of deep brain stimulation (DBS), transcranial direct current stimulation (tDCS), and transcranial magnetic stimulation (TMS) were included. The following databases were used to conduct the search: MEDLINE/ PubMed, PsycINFO, PsycArticles, and Cochrane (Search Trials, CENTRAL). Study selection was performed following the PRISMA process (PRISMA 2009 Checklist). The total number of participants in all the trials was 562 (DBS, 25; tDCS, 138; TMS, 399; range, 3-90; median, 23.5). As a result, 50% of the studies had samples of between 14 and 38 participants. Neuromodulation in ED seems to have certain clinical potential, and therefore, this is a promising area for further research. Developments in ED neuromodulation will be linked to neuroimaging to identify potential stimulation targets and possible biomarkers of treatment response. To date, TMS and/or direct current stimulation (DCS) is not the first-line treatment yet, but it could become a preferred option of treatment in the future. Further studies should avoid small sample sizes and the use of different methodologies. Currently, neuromodulation techniques are in the experimental phase, and they are not an evidence-based treatment for ED.Copyright © 2018 Jauregui-Lobera and Martinez-Quinones.",2018,/,Neuropsychiatric Disease and Treatment,14,"(Jauregui-Lobera) Department of Molecular Biology and Biochemical Engineering, University of Pablo de Olavide of Seville, Seville, Spain(Martinez-Quinones) Department of Neurosurgery, Mutua de Accidentes de Zaragoza (Servicio de Neurocirugia), Zaragoza, S",2817-2835,,https://dx.doi.org/10.2147/NDT.S180231,625191054,#85,Jauregui-Lobera 2018,"",anorexia; non_specific; obesity; review
State of the Art: Novel Applications for Deep Brain Stimulation,Roy H.A.; Green A.L.; Aziz T.Z. ,"Objectives: Deep brain stimulation (DBS) is a rapidly developing field of neurosurgery with potential therapeutic applications that are relevant to conditions traditionally viewed as beyond the limits of neurosurgery. Our objective, in this review, is to highlight some of the emerging applications of DBS within three distinct but overlapping spheres, namely trauma, neuropsychiatry, and autonomic physiology. Review Methods: An extensive literature review was carried out in MEDLINE, to identify relevant studies and review articles describing applications of DBS in the areas of trauma, neuropsychiatry and autonomic neuroscience. Result(s): A wide range of applications of DBS in these spheres was identified, some having only been tested in one or two cases, others much better studied. Conclusion(s): We have identified various avenues for DBS to be applied for patient benefit in cases relevant to trauma, neuropsychiatry and autonomic neuroscience. Further developments in DBS technology and clinical trial design will enable these novel applications to be effectively and rigorously assessed and utilized most effectively.Copyright © 2017 International Neuromodulation Society",2018,/,Neuromodulation,21,2,126-134,,https://dx.doi.org/10.1111/ner.12604,616384021,#86,Roy 2018,"",anorexia; non_specific; obesity; review
Recent advances in deep brain stimulation in psychiatric disorders,Clair A.-H.; Haynes W.; Mallet L. ,"Deep brain stimulation (DBS) has been offered to patients suffering of severe and resistant neuropsychiatric disorders like Obsessive Compulsive Disorder (OCD), Gilles de la Tourette Syndrome (TS) and Major Depression (MDD). Modulation of several targets within the cortico-striato-thalamo-cortical circuits can lead to a decrease of symptom severity in those patients. This review focuses on the recent clinical outcomes in DBS in psychiatric disorders. Studies on OCD and TS are now focusing on the long-term effects of DBS, with encouraging results regarding not only the decrease of symptoms, but also quality of life. They also highlighted efficient adjuvant techniques, like cognitive and behavioural therapy and support programs, to enhance an often-partial response to DBS. The application of DBS for MDD is more recent and, despite encouraging initial open-label studies, two large randomised studies have failed to demonstrate an efficacy of DBS in MDD according to evidence-based medicine criteria. Last years, DBS was also tested in other resistant psychiatric disorders, as anorexia nervosa and addiction, with encouraging preliminary results. However, today, no target - whatever the disease - can meet the criteria for clinical efficacy as recently defined by an international committee for neurosurgery for psychiatric disorders. Consequently, DBS in psychiatric disorders still needs to proceed within the frame of clinical trials.Copyright © 2018 Clair AH et al.",2018,/,F1000Research,7,"(Clair, Haynes, Mallet) Sorbonne University, UPMC Paris 06 University, INSERM, CNRS, Institut du Cerveau et de la Moelle epiniere, Paris, France(Haynes) Neurosurgery department, University Hospital of Montpellier, Montpellier, France(Mallet) Psychiatry an",699,,https://dx.doi.org/10.12688/f1000research.14187.1,622465316,#88,Clair 2018,"",anorexia; non_specific; review
Deep brain stimulation for appetite disorders: a review,Whiting A.C.; Oh M.Y.; Whiting D.M. ,"The mechanisms of appetite disorders, such as refractory obesity and anorexia nervosa, have been vigorously studied over the last century, and these studies have shown that the central nervous system has significant involvement with, and responsibility for, the pathology associated with these diseases. Because deep brain stimulation has been shown to be a safe, efficacious, and adjustable treatment modality for a variety of other neurological disorders, it has also been studied as a possible treatment for appetite disorders. In studies of refractory obesity in animal models, the ventromedial hypothalamus, the lateral hypothalamus, and the nucleus accumbens have all demonstrated elements of success as deep brain stimulation targets. Multiple targets for deep brain stimulation have been proposed for anorexia nervosa, with research predominantly focusing on the subcallosal cingulate, the nucleus accumbens, and the stria terminalis and medial forebrain bundle. Human deep brain stimulation studies that focus specifically on refractory obesity and anorexia nervosa have been performed but with limited numbers of patients. In these studies, the target for refractory obesity has been the lateral hypothalamus, ventromedial hypothalamus, and nucleus accumbens, and the target for anorexia nervosa has been the subcallosal cingulate. These studies have shown promising findings, but further research is needed to elucidate the long-term efficacy of deep brain stimulation for the treatment of appetite disorders.",2018,/,Neurosurgical focus,45,2,E9,,https://dx.doi.org/10.3171/2018.4.FOCUS18141,625780077,#89,Whiting 2018,"",anorexia; obesity; review
Therapeutic potential of deep brain stimulation of the nucleus accumbens in morbid obesity,Oterdoom D.L.M.; van Dijk G.; Verhagen M.H.P.; Jiawan V.C.R.; Drost G.; Emous M.; van Beek A.P.; van Dijk J.M.C. ,"OBJECTIVE Morbid obesity is a growing problem worldwide. The current treatment options have limitations regarding effectiveness and complication rates. New treatment modalities are therefore warranted. One of the options is deep brain stimulation (DBS) of the nucleus accumbens (NAC). This review aims to summarize the current knowledge on NAC-DBS for the treatment of morbid obesity. METHODS Studies were obtained from multiple electronic bibliographic databases, supplemented with searches of reference lists. All animal and human studies reporting on the effects of NAC-DBS on body weight in morbidly obese patients were included. Articles found during the search were screened by 2 reviewers, and when deemed applicable, the relevant data were extracted. RESULTS Five relevant animal experimental papers were identified, pointing toward a beneficial effect of high-frequency stimulation of the lateral shell of the NAC. Three human case reports show a beneficial effect of NAC-DBS on body weight in morbidly obese patients. CONCLUSIONS The available literature supports NAC-DBS to treat morbid obesity. The number of well-conducted animal studies, however, is very limited. Also, the optimal anatomical position of the DBS electrode within the NAC, as well as the optimal stimulation parameters, has not yet been established. These matters need to be addressed before this strategy can be considered for human clinical trials.",2018,/,Neurosurgical focus,45,2,E10,,https://dx.doi.org/10.3171/2018.4.FOCUS18148,625779278,#90,Oterdoom 2018,"",obesity; review
Expanding indications for deep brain stimulation,Doshi P.K. ,"It has been three decades since the first application of deep brain stimulation (DBS) for tremors was described by Benabid. Over the years, the indications for the performance of DBS have been expanding. There are now more than 1,50,000 patients around the world who have undergone DBS for various disorders. The main appeal of DBS is in its reversibility and titratability. Though the initial interest in DBS was for pain, the main indications for DBS have been movement disorders. Despite its wide appeal and 'perceived' advantage, United States Food and Drug Administration, the nodal agency for approving therapies, has been cautious and guarded in providing approvals. Only two indications, i.e., Parkinson's disease and tremors, have been approved; the two other indications, i.e., dystonia and obsessive compulsive disorder (OCD), have been granted exemption under the humanitarian device usage. However, the European community has been more liberal and several of these indications have CE (Conformite Europeene) approval. Most of them will be reviewed in this article. There have been numerous indications for which DBS has been applied, which in turn has helped to change the lives of several patients. Unfortunately, due to the paucity of the number of procedures performed and the inherent difficulty in conducting 'surgical' double blind randomized trials, Class 1 or Class 2 evidence for several of these indications is lacking. Hence, it is advisable that one does not embark on using each and any target for each and any indication without having the understanding or the team backup. It is cautionary that most of these therapies should be conducted in an institutional setting with an ethics and scientific committee backup and ably assisted by an experienced team.Copyright © 2018 Neurology India, Neurological Society of India  Published by Wolters Kluwer - Medknow.",2018,/,Neurology India,66,7 Supplement 1,S102-S112,,https://dx.doi.org/10.4103/0028-3886.226450,621102845,#92,Doshi 2018,"",anorexia; non_specific; obesity; review
Deep brain stimulation as a therapeutic option for obesity: A critical review,Betry C.; Thobois S.; Laville M.; Disse E. ,"Despite a better understanding of obesity pathophysiology, treating this disease remains a challenge. New therapeutic options are needed. Targeting the brain is a promising way, considering both the brain abnormalities in obesity and the effects of bariatric surgery on the gut-brain axis. Deep brain stimulation could be an alternative treatment for obesity since this safe and reversible neurosurgical procedure modulates neural circuits for therapeutic purposes. We aimed to provide a critical review of published clinical and preclinical studies in this field. Owing to the physiology of eating and brain alterations in people with obesity, two brain areas, namely the hypothalamus and the nucleus accumbens are putative targets. Preclinical studies with animal models of obesity showed that deep brain stimulation of hypothalamus or nucleus accumbens induces weight loss. The mechanisms of action remain to be fully elucidated. Preclinical data suggest that stimulation of nucleus accumbens reduces food intake, while stimulation of hypothalamus could increase resting energy expenditure. Clinical experience with deep brain stimulation for obesity remains limited to six patients with mixed results, but some clinical trials are ongoing. Thus, drawing clear conclusions about the effectiveness of this treatment is not yet possible, even if the results of preclinical studies are encouraging. Future clinical studies should examine its efficacy and safety, while preclinical studies could help understand its mechanisms of action. We hope that our review will provide ways to design further studies.Copyright © 2018 Asia Oceania Association for the Study of Obesity",2018,/,Obesity Research and Clinical Practice,12,3,260-269,,https://dx.doi.org/10.1016/j.orcp.2018.02.004,620767201,#94,Betry 2018,"",obesity; review
Cognitive and neuromodulation strategies for unhealthy eating and obesity: Systematic review and discussion of neurocognitive mechanisms,Forcano L.; Mata F.; de la Torre R.; Verdejo-Garcia A. ,"We systematically reviewed research on cognitive training and neuromodulation interventions for reducing food craving/intake, unhealthy diet and weight, and discussed their mechanisms of action. We reviewed 50 studies involving six cognitive trainings: Approach and Attentional Bias Modification, Implementation Intentions, Response Inhibition, Episodic Future Thinking and Working Memory; and four neuromodulation approaches: Transcranial Magnetic Stimulation (TMS), transcranial Direct Current Stimulation (tDCS), Deep Brain Stimulation (DBS) and Neurofeedback. Response Inhibition and Implementation Intentions have shown to reduce unhealthy diet and weight in people with overweight/obesity. Attentional Bias Modification has shown promising results in healthy-weight participants. Brain stimulation of the Dorsolateral Prefrontal Cortex via tDCS and the Hypothalamus via DBS showed benefits for reducing food craving and weight in people with overweight/obesity. Studies quality was generally high, but most trials were short-term and many conducted in healthy-weight samples. Modification of cognitive control and motivational processes/circuits are common mechanisms of beneficial training and neuromodulation interventions, and thus a promising approach for overweight/obesity treatment. Longer duration trials in clinical populations are needed to confirm benefits.Copyright © 2018 Elsevier Ltd",2018,/,Neuroscience and Biobehavioral Reviews,87,"(Forcano, de la Torre) Integrative Pharmacology and Systems Neuroscience Group, Neurosciences Research Program, IMIM-Hospital del Mar Medical Research Institute, Barcelona, Spain(Forcano, de la Torre) CIBER de Fisiopatologia de la Obesidad y Nutricion (CI",161-191,,https://dx.doi.org/10.1016/j.neubiorev.2018.02.003,620752188,#95,Forcano 2018,"",non_specific; obesity; review
Neurostimulation in clinical and sub-clinical eating disorders: A systematic update of the literature,Dalton B.; Bartholdy S.; Campbell I.C.; Schmidt U. ,"Introduction: Whilst psychological therapies are the main approach to treatment of eating disorders (EDs), advances in aetiological research suggest the need for the development of more targeted, brain-focused treatments. A range of neurostimulation approaches, most prominently repetitive transcranial magnetic stimulation (rTMS), transcranial direct current stimulation (tDCS) and deep brain stimulation (DBS), are rapidly emerging as potential novel interventions. We have previously reviewed these techniques as potential treatments of EDs. Aim(s): To provide an update of the literature examining the effects of DBS, rTMS and tDCS on eating behaviours, body weight and associated symptoms in people with EDs and relevant analogue populations. Method(s): Using PRISMA guidelines, we reviewed articles in PubMed, Web of Science, and Psy-cINFO from 1st January 2013 until 14th August 2017, to update our earlier search. Studies assessing the effects of neurostimulation techniques on eating and weight-related outcomes in people with EDs and relevant analogue populations were included. Data from both searches were combined. Result(s): We included a total of 32 studies (526 participants); of these, 18 were newly identified by our update search. Whilst findings are somewhat mixed for bulimia nervosa, neurostimulation techniques have shown potential in the treatment of other EDs, in terms of reduction of ED and associated symptoms. Studies exploring cognitive, neural, and hormonal correlates of these techniques are also beginning to appear. Conclusion(s): Neurostimulation approaches show promise as treatments for EDs. As yet, large well-conducted randomised controlled trials are lacking. More information is needed about treatment targets, stimulation parameters and mechanisms of action.Copyright © 2018 Bentham Science Publishers.",2018,/,Current Neuropharmacology,16,8,1174-1192,,https://dx.doi.org/10.2174/1570159X16666180108111532,623682515,#98,Dalton 2018,"",anorexia; non_specific; review
Deep brain stimulation-possible treatment strategy for pathologically altered body weight?,Prinz P.; Stengel A. ,"The treatment of obesity and eating disorders such as binge-eating disorder or anorexia nervosa is challenging. Besides lifestyle changes and pharmacological options, bariatric surgery represents a well-established and effective-albeit invasive-treatment of obesity, whereas for binge-eating disorder and anorexia nervosa mostly psychotherapy options exist. Deep brain stimulation (DBS), a method that influences the neuronal network, is by now known for its safe and effective applicability in patients with Parkinson's disease. However, the use does not seem to be restricted to these patients. Recent preclinical and first clinical evidence points towards the use of DBS in patients with obesity and eating disorders as well. Depending on the targeted area in the brain, DBS can either inhibit food intake and body weight or stimulate energy intake and subsequently body weight. The current review focuses on preclinical and clinical evidence of DBS to modulate food intake and body weight and highlight the different brain areas targeted, stimulation protocols applied and downstreamsignalingmodulated. Lastly, this review will also critically discuss potential safety issues and gaps in knowledge to promote further studies.Copyright © 2018 by the authors. Licensee MDPI, Basel, Switzerland.",2018,/,Brain Sciences,8,1,19,,https://dx.doi.org/10.3390/brainsci8010019,620367199,#100,Prinz 2018,"",anorexia; obesity; review
Neuromodulation for the treatment of eating disorders and obesity,Lee D.J.; Elias G.J.B.; Lozano A.M. ,"Eating disorders and obesity adversely affect individuals both medically and psychologically, leading to reduced life expectancy and poor quality of life. While there exist a number of treatments for anorexia, morbid obesity and bulimia, many patients do not respond favorably to current behavioral, medical or bariatric surgical management. Neuromodulation has been postulated as a potential treatment for eating disorders and obesity. In particular, deep brain stimulation and transcranial non-invasive brain stimulation have been studied for these indications across a variety of brain targets. Here, we review the neurobiology behind eating and eating disorders as well as the current status of preclinical and clinical neuromodulation trials for eating disorders and obesity.Copyright © 2017, © The Author(s), 2017.",2018,/,Therapeutic Advances in Psychopharmacology,8,2,73-92,,https://dx.doi.org/10.1177/2045125317743435,620338343,#101,Lee 2018,"",anorexia; non_specific; obesity; review
Advanced research on deep brain stimulation in treating mental disorders (Review),Wang D.; Liu X.; Zhou B.; Kuang W.; Guo T. ,"Deep brain stimulation is a method that involves using an electric stimulus on a specific target in the brain with stereotaxis. It is a minimally invasive, safe, adjustable and reversible nerve involvement technology. At present, this technique is widely applied to treat movement disorders and has produced promising effects on mental symptoms, including combined anxiety and depression. Deep brain stimulation has therefore been employed as a novel treatment for depression, obsessive-compulsive disorder, habituation, Tourette's syndrome, presenile dementia, anorexia nervosa and other refractory mental illnesses. Many encouraging results have been reported. The aim of the present review was to briefly describe the mechanisms, target selection, side effects, ethical arguments and risks associated with deep brain stimulation. Although deep brain stimulation is a developing and promising treatment, a large amount of research is still required to determine its curative effect, and the selection of patients and targets must be subjected to strict ethical standards.Copyright © 2018, Spandidos Publications. All rights reserved.",2018,/,Experimental and Therapeutic Medicine,15,1,3-12,,https://dx.doi.org/10.3892/etm.2017.5366,619393560,#102,Wang 2018,"",anorexia; non_specific; obesity; review
Brain stimulation in obesity,Gobel C.H.; Tronnier V.M.; Munte T.F. ,"Obesity is taking up epidemic proportions worldwide with significant impacts on the health of both the affected individual and on society as a whole. Treatment approaches consist of behavioural and pharmacological approaches, however, these are often found to be ineffective. In severe obesity, bariatric surgery is frequently performed. Unfortunately, 40% of patients show substantial weight gain over the long term or display the associated metabolic syndrome, making the development of novel therapies necessary. This review summarizes some of the current conceptual models, in particularly the 'food addiction' model, and then discusses specific therapeutic targets of brain stimulation, both non-invasive (transcranial magnetic stimulation (TMS), transcranial direct current stimulation (tDCS) and transcutaneous vagus nerve stimulation (VNS)) and invasive (deep brain stimulation and invasive VNS). As we will show, neuromodulatory approaches represent a promising tool for targeting specific brain structures implicated in the pathophysiology of obesity. Non-invasive techniques such as TMS, tDCS and transcutaneous VNS need further investigation before they may become ready for clinical usage. The currently available study data suggest that deep brain stimulation may become an effective and acceptable therapy for otherwise treatment-resistant obese patients. The results of the currently undergoing clinical trials are eagerly awaited.Copyright © 2017 Macmillan Publishers Limited, part of Springer Nature. All rights reserved.",2017,/,International Journal of Obesity,41,12,1721-1727,,https://dx.doi.org/10.1038/ijo.2017.150,619573428,#105,Gobel 2017,"",non_specific; obesity; review
Neuromodulation and neurofeedback treatments in eating disorders and obesity,Dalton B.; Campbell I.C.; Schmidt U. ,"Purpose of review Psychological interventions are the treatment of choice for most eating disorders; however, significant proportions of patients do not recover with these. Advances in understanding of the neurobiology of eating disorders have led to the development of targeted treatments, such as deep brain stimulation (DBS), noninvasive brain stimulation (NIBS), and neurofeedback. We review the emerging clinical evidence for the use of these interventions in eating disorders and obesity, together with their theoretical rationale. Finally, we reflect on future developments. Recent findings During the last 20 months, seven case studies/series and seven randomized controlled trials (RCTs) of NIBS or neurofeedback in different eating disorders, obesity, or food craving have appeared. These have largely had promising results. One NIBS trial, using a multisession protocol, was negative. A case series of subcallosal DBS in anorexia nervosa has also shown promise. A search of trial registries identified a further 21 neuromodulation/feedback studies in progress, indicating that neuromodulation/feedback is an area of growing interest. Summary At present, neuromodulation and neurofeedback are largely experimental interventions; however, growing understanding of the mechanisms involved, together with the rising number of studies in this area, means that the clinical utility of these interventions is likely to become clearer soon.Copyright © 2017 Wolters Kluwer Health, Inc. All rights reserved.",2017,/,Current Opinion in Psychiatry,30,6,458-473,,https://dx.doi.org/10.1097/YCO.0000000000000361,618659603,#106,Dalton 2017,"",anorexia; non_specific; obesity; review
The application of deep brain stimulation in the treatment of psychiatric disorders,Graat I.; Figee M.; Denys D. ,"Deep brain stimulation (DBS) is a last-resort treatment for neurological and psychiatric disorders that are refractory to standard treatment. Over the last decades, the progress of DBS in psychiatry has been slower than in neurology, in part owing to the heterogenic symptomatology and complex neuroanatomy of psychiatric disorders. However, for obsessive-compulsive disorder (OCD) DBS is now an accepted treatment. This study first reviews clinical outcomes and mechanisms of DBS for OCD, and then discusses these results in an overview of current and future psychiatric applications, including DBS for mood disorders, Tourette's syndrome, addiction, anorexia nervosa, autism, schizophrenia, and anxiety disorders. In addition, it will focus on novel techniques that may enhance the application of DBS in psychiatry.Copyright © 2017 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",2017,/,International Review of Psychiatry,29,2,178-190,,https://dx.doi.org/10.1080/09540261.2017.1282439,616384065,#107,Graat 2017,"",anorexia; non_specific; review
Control of food intake by gastrointestinal peptides: Mechanisms of action and possible modulation in the treatment of obesity,Prinz P.; Stengel A. ,"This review focuses on the control of appetite by food intake-regulatory peptides secreted from the gastrointestinal tract, namely cholecystokinin, glucagon-like peptide 1, peptide YY, ghrelin, and the recently discovered nesfatin-1 via the gut-brain axis. Additionally, we describe the impact of external factors such as intake of different nutrients or stress on the secretion of gastrointestinal peptides. Finally, we highlight possible conservative--physical activity and pharmacotherapy--treatment strategies for obesity as well as surgical techniques such as deep brain stimulation and bariatric surgery also altering these peptidergic pathways.Copyright © 2017 The Korean Society of Neurogastroenterology and Motility.",2017,/,Journal of Neurogastroenterology and Motility,23,2,180-196,,https://dx.doi.org/10.5056/jnm16194,615227795,#111,Prinz 2017,"",non_specific; obesity; review
DBS for obesity,Franco R.; Fonoff E.T.; Alvarenga P.; Lopes A.C.; Miguel E.C.; Teixeira M.J.; Damiani D.; Hamani C. ,"Obesity is a chronic, progressive and prevalent disorder. Morbid obesity, in particular, is associated with numerous comorbidities and early mortality. In patients with morbid obesity, pharmacological and behavioral approaches often have limited results. Bariatric surgery is quite effective but is associated with operative failures and a non-negligible incidence of side effects. In the last decades, deep brain stimulation (DBS) has been investigated as a neurosurgical modality to treat various neuropsychiatric disorders. In this article we review the rationale for selecting different brain targets, surgical results and future perspectives for the use of DBS in medically refractory obesity.Copyright © 2016 by the authors; licensee MDPI, Basel, Switzerland.",2016,/,Brain Sciences,6,3,21,,https://dx.doi.org/10.3390/brainsci6030021,611691248,#114,Franco 2016,"",obesity; review
Deep brain stimulation for obesity: From a theoretical framework to practical application,Nangunoori R.K.; Tomycz N.D.; Oh M.Y.; Whiting D.M. ,"Obesity remains a pervasive global health problem. While there are a number of nonsurgical and surgical options for treatment, the incidence of obesity continues to increase at an alarming rate. The inability to curtail the growing rise of the obesity epidemic may be related to a combination of increased food availability and palatability. Research into feeding behavior has yielded a number of insights into the homeostatic and reward mechanisms that govern feeding. However, there remains a gap between laboratory investigations of feeding physiology in animals and translation into meaningful treatment options for humans. In addition, laboratory investigation may not be able to recapitulate all aspects of human food consumption. In a landmark pilot study of deep brain stimulation (DBS) of the lateral hypothalamic area for obesity, we found that there was an increase in resting metabolic rate as well as a decreased urge to eat. In this review, the authors will review some of the work relating to feeding physiology and research surrounding two nodes involved in feeding homeostasis, nucleus accumbens (NAc) and hypothalamus, and use this to provide a framework for future investigations of DBS as a viable therapeutic modality for obesity.Copyright © 2016 Raj K. Nangunoori et al.",2016,/,Neural Plasticity,2016,"(Nangunoori, Tomycz, Oh, Whiting) Department of Neurosurgery, Division of Functional Neurosurgery, Allegheny General Hospital, 320 E. North Avenue, Pittsburgh, PA 15212, United States",7971460,,https://dx.doi.org/10.1155/2016/7971460,608043034,#118,Nangunoori 2016,"",obesity; review
Emerging applications of deep brain stimulation,Sharma M.; Naik V.; Deogaonkar M. ,"Deep brain stimulation (DBS) implantation surgery is an established treatment modality for a variety of medical refractory movement disorders such as Parkinson's disease, essential tremors and dystonia. Following the success of DBS in these movement disorders with a high rate of safety and eficacy, there is a resurgence of interest in the utility of this modality in other medical refractory disorders. Consequently, neuromodulation has been explored for a variety of refractory conditions such as neuropsychiatric disorders (major depressive disorders, obsessive-compulsive disorders, addictions), eating disorders including obesity, traumatic brain injury, post-traumatic stress disorders (PTSD), dementias and chronic pain. This review provides an overview of the emerging applications of DBS in these disorders, including summary of the published literature. We have highlighted the pathophysiology and likely aberrant neural circuits involved in these refractory disorders. Current and possible surgical targets for neurosurgical intervention related to these disorders have also been discussed. Furthermore, recent advances such as closed loop systems; responsive neurostimulation systems and optogenetics techniques have been addressed.Copyright © 2016 EDIZIONI MINERVA MEDICA.",2016,/,Journal of Neurosurgical Sciences,60,2,242-255,,,612971252,#120,Sharma 2016,"",anorexia; non_specific; obesity; review
