Title,Authors,KW,MH,DU,OD,Abstract,Journal,Published Year
Animal models of addiction: Compulsive drug taking and cognition.,Cadet J.L.,,"brain depth stimulation

brain function

brain region

*cognition

cognitive defect

*compulsion

*drug dependence/di [Diagnosis]

drug exposure

drug self administration

*drug use

environmental enrichment

excitability

human

nonhuman

note

optogenetics

phenotype

population research

prelimbic cortex

priority journal

punishment

social psychology

cocaine

methamphetamine","cocaine

methamphetamine","brain depth stimulation

brain function

brain region

*cognition

cognitive defect

*compulsion

*drug dependence / *diagnosis

drug exposure

drug self administration

*drug use

environmental enrichment

excitability

human

nonhuman

Note

optogenetics

phenotype

population research

prelimbic cortex

priority journal

punishment

social psychology",,Neuroscience and Biobehavioral Reviews,Nov-19
"Pavlovian-to-instrumental transfer and alcohol consumption in young male social drinkers: Behavioral, neural and polygenic correlates.","Garbusow M.

Nebe S.

Sommer C.

Kuitunen-Paul S.

Sebold M.

Schad D.J.

Friedel E.

Veer I.M.

Wittchen H.-U.

Rapp M.A.

Ripke S.

Walter H.

Huys Q.J.M.

Schlagenhauf F.

Smolka M.N.

Heinz A.","Alcohol

Amygdala

High risk drinkers

Pavlovian-to-instrumental transfer

Polygenic risk","adult

alcohol abstinence

*alcohol consumption

alcoholism

allele

amygdala

article

*behavior

BOLD signal

brain depth stimulation

controlled study

decision making

drug dependence

DSM-IV-TR

Fagerstrom Test for Nicotine Dependence

functional magnetic resonance imaging

genetic analysis

genetic risk

genome-wide association study

genotype

high risk patient

human

image analysis

low risk patient

major clinical study

male

mental disease assessment

nucleus accumbens

questionnaire

risk factor

single nucleotide polymorphism

stimulus

training

young adult

nuclear magnetic resonance scanner

composite international diagnostic interview

Obsessive Compulsive Drinking Scale

*Pavlovian to instrumental transfer

polygenic risk

Trio 3 Tesla",,"adult

alcohol abstinence

*alcohol consumption

alcoholism

allele

amygdala

Article

*behavior

BOLD signal

brain depth stimulation

controlled study

decision making

drug dependence

DSM-IV-TR

Fagerstrom Test for Nicotine Dependence

functional magnetic resonance imaging

genetic analysis

genetic risk

genome-wide association study

genotype

high risk patient

human

image analysis

low risk patient

major clinical study

male

mental disease assessment

nucleus accumbens

questionnaire

risk factor

single nucleotide polymorphism

stimulus

training

young adult","In animals and humans, behavior can be influenced by irrelevant stimuli, a phenomenon called Pavlovian-to-instrumental transfer (PIT). In subjects with substance use disorder, PIT is even enhanced with functional activation in the nucleus accumbens (NAcc) and amygdala. While we observed enhanced behavioral and neural PIT effects in alcohol-dependent subjects, we here aimed to determine whether behavioral PIT is enhanced in young men with high-risk compared to low-risk drinking and subsequently related functional activation in an a-priori region of interest encompassing the NAcc and amygdala and related to polygenic risk for alcohol consumption. A representative sample of 18-year old men (n = 1937) was contacted: 445 were screened, 209 assessed: resulting in 191 valid behavioral, 139 imaging and 157 genetic datasets. None of the subjects fulfilled criteria for alcohol dependence according to the Diagnostic and Statistical Manual of Mental Disorders-IV-TextRevision (DSM-IV-TR). We measured how instrumental responding for rewards was influenced by background Pavlovian conditioned stimuli predicting action-independent rewards and losses. Behavioral PIT was enhanced in high-compared to low-risk drinkers (b = 0.09, SE = 0.03, z = 2.7, p < 0.009). Across all subjects, we observed PIT-related neural blood oxygen level-dependent (BOLD) signal in the right amygdala (t = 3.25, pSVC = 0.04, x = 26, y = -6, z = -12), but not in NAcc. The strength of the behavioral PIT effect was positively correlated with polygenic risk for alcohol consumption (rs = 0.17, p = 0.032). We conclude that behavioral PIT and polygenic risk for alcohol consumption might be a biomarker for a subclinical phenotype of risky alcohol consumption, even if no drug-related stimulus is present. The association between behavioral PIT effects and the amygdala might point to habitual processes related to out PIT task. In non-dependent young social drinkers, the amygdala rather than the NAcc is activated during PIT; possible different involvement in association with disease trajectory should be investigated in future studies.Copyright © 2019 by the authors. Licensee MDPI, Basel, Switzerland.",Journal of Clinical Medicine,Aug-19
Leveraging the interplay of nanotechnology and neuroscience: Designing new avenues for treating central nervous system disorders.,"Smith E.S.

Porterfield J.E.

Kannan R.M.","Central nervous system

Glioblastoma

Nanomedicine

Nerve repair

Neurodegeneration

Neuroinflammation

Psychiatric disorders

Theranostics

Translational medicine","addiction

autoimmune disease/dt [Drug Therapy]

autoimmune disease/pc [Prevention]

brain depth stimulation

brain disease

*central nervous system disease

degenerative disease

drug abuse

drug efficacy

human

mental disease/dt [Drug Therapy]

microglia

nanomedicine

*nanotechnology

nervous system inflammation

*neuroscience

neurotoxicity

non invasive procedure

nonhuman

oxidative stress

priority journal

proteinosis

review

vaccination

nanoparticle

psychotropic agent/dt [Drug Therapy]

vaccine/dt [Drug Therapy]","nanoparticle

psychotropic agent / drug therapy

vaccine / drug therapy","addiction

autoimmune disease / drug therapy / prevention

brain depth stimulation

brain disease

*central nervous system disease

degenerative disease

drug abuse

drug efficacy

human

mental disease / drug therapy

microglia

nanomedicine

*nanotechnology

nervous system inflammation

*neuroscience

neurotoxicity

non invasive procedure

nonhuman

oxidative stress

priority journal

proteinosis

Review

vaccination","Nanotechnology has the potential to open many novel diagnostic and treatment avenues for disorders of the central nervous system (CNS). In this review, we discuss recent developments in the applications of nanotechnology in CNS therapies, diagnosis and biology. Novel approaches for the diagnosis and treatment of neuroinflammation, brain dysfunction, psychiatric conditions, brain cancer, and nerve injury provide insights into the potential of nanomedicine. We also highlight nanotechnology-enabled neuroscience techniques such as electrophysiology and intracellular sampling to improve our understanding of the brain and its components. With nanotechnology integrally involved in the advancement of basic neuroscience and the development of novel treatments, combined diagnostic and therapeutic applications have begun to emerge. Nanotheranostics for the brain, able to achieve single-cell resolution, will hasten the rate in which we can diagnose, monitor, and treat diseases. Taken together, the recent advances highlighted in this review demonstrate the prospect for significant improvements to clinical diagnosis and treatment of a vast array of neurological diseases. However, it is apparent that a strong dialogue between the nanoscience and neuroscience communities will be critical for the development of successful nanotherapeutics that move to the clinic, benefit patients, and address unmet needs in CNS disorders.Copyright © 2019 Elsevier B.V.",Advanced Drug Delivery Reviews,Aug-19
Efficacy of Invasive and Non-Invasive Brain Modulation Interventions for Addiction.,"Luigjes J.

Segrave R.

de Joode N.

Figee M.

Denys D.","Addiction

Cognitive outcome measures

Deep brain stimulation

EEG neurofeedback

Neuromodulation

Transcranial direct current stimulation

Transcranial magnetic stimulation","addiction/th [Therapy]

brain

brain depth stimulation

clinical trial (topic)

drug dependence/th [Therapy]

electroencephalography

human

neurofeedback

nuclear magnetic resonance imaging

*pathophysiology

transcranial direct current stimulation

transcranial magnetic stimulation

treatment outcome",,"addiction / therapy

brain

brain depth stimulation

clinical trial (topic)

drug dependence / therapy

electroencephalography

human

neurofeedback

nuclear magnetic resonance imaging

*pathophysiology

transcranial direct current stimulation

transcranial magnetic stimulation

treatment outcome","It is important to find new treatments for addiction due to high relapse rates despite current interventions and due to expansion of the field with non-substance related addictive behaviors. Neuromodulation may provide a new type of treatment for addiction since it can directly target abnormalities in neurocircuits. We review literature on five neuromodulation techniques investigated for efficacy in substance related and behavioral addictions: transcranial direct current stimulation (tDCS), (repetitive) transcranial magnetic stimulation (rTMS), EEG, fMRI neurofeedback and deep brain stimulation (DBS) and additionally report on effects of these interventions on addiction-related cognitive processes. While rTMS and tDCS, mostly applied at the dorsolateral prefrontal cortex, show reductions in immediate craving for various addictive substances, placebo-responses are high and long-term outcomes are understudied. The lack in well-designed EEG-neurofeedback studies despite decades of investigation impedes conclusions about its efficacy. Studies investigating fMRI neurofeedback are new and show initial promising effects on craving, but future trials are needed to investigate long-term and behavioral effects. Case studies report prolonged abstinence of opioids or alcohol with ventral striatal DBS but difficulties with patient inclusion may hinder larger, controlled trials. DBS in neuropsychiatric patients modulates brain circuits involved in reward processing, extinction and negative-reinforcement that are also relevant for addiction. To establish the potential of neuromodulation for addiction, more randomized controlled trials are needed that also investigate treatment duration required for long-term abstinence and potential synergy with other addiction interventions. Finally, future advancement may be expected from tailoring neuromodulation techniques to specific patient (neurocognitive) profiles.",Neuropsychology review,01-Mar-19
The Insula: A Brain Stimulation Target for the Treatment of Addiction.,"Ibrahim C.

Rubin-Kahana D.S.

Pushparaj A.

Musiol M.

Blumberger D.M.

Daskalakis Z.J.

Zangen A.

Le Foll B.","addiction

brain stimulation

deep brain stimulation (DBS)

insula

transcranial direct current stimulation (tDCS)

transcranial magnetic stimulation (TMS)","alcoholism/th [Therapy]

anticipation

association

BOLD signal

*brain depth stimulation

*brain function

cannabis addiction/th [Therapy]

clinical outcome

cocaine dependence/th [Therapy]

*drug dependence/th [Therapy]

electroencephalogram

functional connectivity

functional magnetic resonance imaging

heroin dependence/th [Therapy]

human

*insula

intoxication

methamphetamine dependence/th [Therapy]

nerve cell network

neuroimaging

nonhuman

pathological gambling/th [Therapy]

place preference

prediction

prognosis

resting state network

review

smoking

smoking cessation

tobacco dependence/th [Therapy]

*transcranial direct current stimulation

*transcranial magnetic stimulation

withdrawal syndrome

corticotropin releasing factor/ec [Endogenous Compound]",corticotropin releasing factor / endogenous compound,"alcoholism / therapy

anticipation

association

BOLD signal

*brain depth stimulation

*brain function

cannabis addiction / therapy

clinical outcome

cocaine dependence / therapy

*drug dependence / *therapy

electroencephalogram

functional connectivity

functional magnetic resonance imaging

heroin dependence / therapy

human

*insula

intoxication

methamphetamine dependence / therapy

nerve cell network

neuroimaging

nonhuman

pathological gambling / therapy

place preference

prediction

prognosis

resting state network

Review

smoking

smoking cessation

tobacco dependence / therapy

*transcranial direct current stimulation

*transcranial magnetic stimulation

withdrawal syndrome","Substance use disorders (SUDs) are a growing public health concern with only a limited number of approved treatments. However, even approved treatments are subject to limited efficacy with high long-term relapse rates. Current treatment approaches are typically a combination of pharmacotherapies and behavioral counselling. Growing evidence and technological advances suggest the potential of brain stimulation techniques for the treatment of SUDs. There are three main brain stimulation techniques that are outlined in this review: transcranial magnetic stimulation (TMS), transcranial direct current stimulation (tDCS), and deep brain stimulation (DBS). The insula, a region of the cerebral cortex, is known to be involved in critical aspects underlying SUDs, such as interoception, decision making, anxiety, pain perception, cognition, mood, threat recognition, and conscious urges. This review focuses on both the preclinical and clinical evidence demonstrating the role of the insula in addiction, thereby demonstrating its promise as a target for brain stimulation. Future research should evaluate the optimal parameters for brain stimulation of the insula, through the use of relevant biomarkers and clinical outcomes for SUDs.© Copyright © 2019 Ibrahim, Rubin-Kahana, Pushparaj, Musiol, Blumberger, Daskalakis, Zangen and Le Foll.",Frontiers in Pharmacology,02-Jul-19
"Repetitive transcranial magnetic stimulation in the treatment of a difficult to treat condition, borderline personality disorder.",Rachid F.,"Affective liability

Borderline personality disorder

Impulsivity

Repetitive transcranial magnetic stimulation (rTMS)

Theta-burst stimulation (TBS)","Barratt Impulsiveness Scale

Beck Depression Inventory

*borderline state/th [Therapy]

brain depth stimulation

Clinical Global Impression scale

drug dependence

eating disorder

Hamilton Anxiety Scale

human

major depression

mental instability

middle frontal gyrus

nerve stimulation

obsessive compulsive disorder

practice guideline

randomized controlled trial (topic)

*repetitive transcranial magnetic stimulation

review

superior frontal gyrus

superior temporal gyrus

mood stabilizer

serotonin uptake inhibitor

theta burst stimulation","mood stabilizer

serotonin uptake inhibitor","Barratt Impulsiveness Scale

Beck Depression Inventory

*borderline state / *therapy

brain depth stimulation

Clinical Global Impression scale

drug dependence

eating disorder

Hamilton Anxiety Scale

human

major depression

mental instability

middle frontal gyrus

nerve stimulation

obsessive compulsive disorder

practice guideline

randomized controlled trial (topic)

*repetitive transcranial magnetic stimulation

Review

superior frontal gyrus

superior temporal gyrus","Background: Borderline personality disorder (BPD) is a serious mental disorder characterized by a pervasive pattern of instability in affect regulation and interpersonal relationships, poor self-image and behavioral control, self-injurious behavior, suicidality, and other high-risk behaviors. It is also characterized by a high mortality rate by suicide. Method(s): The published literature on repetitive transcranial magnetic stimulation (TMS), thetaburst stimulation (TBS), and deep TMS in the treatment of BPD were reviewed. Result(s): Four clinical studies (2 randomized trials and 2 case studies) with limited sample sizes found that TMS and TBS were safe and potentially effective in the reduction of symptoms of BPD. Conclusion(s): Given the limited clinical evidence for efficacy on the basis of the results of these studies, future controlled studies involving larger samples and optimal stimulus parameters should be designed to confirm the short-term and long-term safety and efficacy of repetitive TMS and TBS in the treatment of BPD.Copyright © 2019 Wolters Kluwer Health, Inc.",Journal of Psychiatric Practice,Jan-19
Treatment for substance use disorder with co-occurring mental illness.,"Iqbal M.N.

Levin C.J.

Levin F.R.",,"anxiety disorder/dt [Drug Therapy]

anxiety disorder/ep [Epidemiology]

attention deficit disorder/dt [Drug Therapy]

attention deficit disorder/ep [Epidemiology]

brain depth stimulation

*comorbidity

depression/dt [Drug Therapy]

*drug dependence/di [Diagnosis]

*drug dependence/dt [Drug Therapy]

*drug dependence/ep [Epidemiology]

drug intoxication

generalized anxiety disorder/dt [Drug Therapy]

human

major depression/ep [Epidemiology]

*mental disease/di [Diagnosis]

*mental disease/ep [Epidemiology]

practice guideline

priority journal

psychosocial care

review

risk

substance use

amfebutamone/dt [Drug Therapy]

antidepressant agent/dt [Drug Therapy]

atomoxetine/dt [Drug Therapy]

benzodiazepine derivative/dt [Drug Therapy]

buspirone/dt [Drug Therapy]

clonidine/dt [Drug Therapy]

guanfacine/dt [Drug Therapy]

ketamine

monoamine oxidase inhibitor/dt [Drug Therapy]

serotonin uptake inhibitor/dt [Drug Therapy]

topiramate

tricyclic antidepressant agent/dt [Drug Therapy]

venlafaxine/dt [Drug Therapy]","amfebutamone / drug therapy

antidepressant agent / drug therapy

atomoxetine / drug therapy

benzodiazepine derivative / drug therapy

buspirone / drug therapy

clonidine / drug therapy

guanfacine / drug therapy

ketamine

monoamine oxidase inhibitor / drug therapy

serotonin uptake inhibitor / drug therapy

topiramate

tricyclic antidepressant agent / drug therapy

venlafaxine / drug therapy","anxiety disorder / drug therapy / epidemiology

attention deficit disorder / drug therapy / epidemiology

brain depth stimulation

*comorbidity

depression / drug therapy

*drug dependence / *diagnosis / *drug therapy / *epidemiology

drug intoxication

generalized anxiety disorder / drug therapy

human

major depression / epidemiology

*mental disease / *diagnosis / *epidemiology

practice guideline

priority journal

psychosocial care

Review

risk

substance use","Substance use disorder is a highly prevalent condition, leading to significant morbidity, mortality, and burden on the health care system. Substance use disorders are overrepresented among individuals with a mental illness. The term ""dual diagnosis"" was introduced by the World Health Organization in the mid-1990s and refers to the co-occurrence of a substance use disorder with mental illness-a more recently used term is ""co-occurring disorders."" In the past decade, substantial progress has been made toward expanding psychotherapeutic and pharmacotherapeutic treatments for treating co-occurring disorders. Yet management remains a challenge among clinicians and has been a source of confusion and considerable controversy. This review describes the epidemiology and treatment of co-occurring disorders, with a focus on major depressive disorder, anxiety disorders, and attention-deficit hyperactivity disorder. Substance usemay make diagnosis of the underlying psychiatric condition difficult, and a period of abstinence may be necessary. Findings from efficacy studies of medications used to treat co-occurring disorders are reviewed, as are results of preliminary studies of newer treatments, such as topiramate, ketamine, noninvasive brain stimulation, and deep brain stimulation. Treatment recommendations that combine medications and psychosocial interventions are summarized.Copyright © 2019 Focus (United States). All rights reserved.",Focus (United States),2019
A Roadmap for Integrating Neuroscience Into Addiction Treatment: A Consensus of the Neuroscience Interest Group of the International Society of Addiction Medicine.,"Verdejo-Garcia A.

Lorenzetti V.

Manning V.

Piercy H.

Bruno R.

Hester R.

Pennington D.

Tolomeo S.

Arunogiri S.

Bates M.E.

Bowden-Jones H.

Campanella S.

Daughters S.B.

Kouimtsidis C.

Lubman D.I.

Meyerhoff D.J.

Ralph A.

Rezapour T.

Tavakoli H.

Zare-Bidoky M.

Zilverstand A.

Steele D.

Moeller S.J.

Paulus M.

Baldacchino A.

Ekhtiari H.","addiction medicine

cognitive rehabilitation

fMRI

neuromodulation

neuropsychological assessment

neuroscience

substance use disorder

treatment","abstinence

*addiction/di [Diagnosis]

*addiction/th [Therapy]

algorithm

brain depth stimulation

clinical assessment tool

clinical outcome

clinical practice

clinical research

cognition assessment

cognitive bias

cognitive remediation therapy

*consensus

cost effectiveness analysis

diagnostic test

disease marker

*drug dependence/di [Diagnosis]

*drug dependence/th [Therapy]

evidence based medicine

functional magnetic resonance imaging

human

knowledge

medical society

mindfulness

neurofeedback

neuroimaging

neuromodulation

*neuroscience

personalized medicine

prediction

prognosis

randomized controlled trial (topic)

relapse/pc [Prevention]

reliability

review

workforce

working memory

inhibitory control training",,"abstinence

*addiction / *diagnosis / *therapy

algorithm

brain depth stimulation

clinical assessment tool

clinical outcome

clinical practice

clinical research

cognition assessment

cognitive bias

cognitive remediation therapy

*consensus

cost effectiveness analysis

diagnostic test

disease marker

*drug dependence / *diagnosis / *therapy

evidence based medicine

functional magnetic resonance imaging

human

knowledge

medical society

mindfulness

neurofeedback

neuroimaging

neuromodulation

*neuroscience

personalized medicine

prediction

prognosis

randomized controlled trial (topic)

relapse / prevention

reliability

Review

workforce

working memory","Although there is general consensus that altered brain structure and function underpins addictive disorders, clinicians working in addiction treatment rarely incorporate neuroscience-informed approaches into their practice. We recently launched the Neuroscience Interest Group within the International Society of Addiction Medicine (ISAM-NIG) to promote initiatives to bridge this gap. This article summarizes the ISAM-NIG key priorities and strategies to achieve implementation of addiction neuroscience knowledge and tools for the assessment and treatment of substance use disorders. We cover two assessment areas: cognitive assessment and neuroimaging, and two interventional areas: cognitive training/remediation and neuromodulation, where we identify key challenges and proposed solutions. We reason that incorporating cognitive assessment into clinical settings requires the identification of constructs that predict meaningful clinical outcomes. Other requirements are the development of measures that are easily-administered, reliable, and ecologically-valid. Translation of neuroimaging techniques requires the development of diagnostic and prognostic biomarkers and testing the cost-effectiveness of these biomarkers in individualized prediction algorithms for relapse prevention and treatment selection. Integration of cognitive assessments with neuroimaging can provide multilevel targets including neural, cognitive, and behavioral outcomes for neuroscience-informed interventions. Application of neuroscience-informed interventions including cognitive training/remediation and neuromodulation requires clear pathways to design treatments based on multilevel targets, additional evidence from randomized trials and subsequent clinical implementation, including evaluation of cost-effectiveness. We propose to address these challenges by promoting international collaboration between researchers and clinicians, developing harmonized protocols and data management systems, and prioritizing multi-site research that focuses on improving clinical outcomes.© Copyright © 2019 Verdejo-Garcia, Lorenzetti, Manning, Piercy, Bruno, Hester, Pennington, Tolomeo, Arunogiri, Bates, Bowden-Jones, Campanella, Daughters, Kouimtsidis, Lubman, Meyerhoff, Ralph, Rezapour, Tavakoli, Zare-Bidoky, Zilverstand, Steele, Moeller, Paulus, Baldacchino and Ekhtiari.",Frontiers in Psychiatry,23-Dec-19
Bouncing back: Brain rehabilitation amid opioid and stimulant epidemics.,"Stewart J.L.

May A.C.

Paulus M.P.","(max 6): Opioid

Abstinence

Cocaine

Methamphetamine

Neuroimaging

Recovery","abstinence

anterior cingulate

attention

brain depth stimulation

brain function

brain region

clinical outcome

*cocaine dependence/dt [Drug Therapy]

*cocaine dependence/th [Therapy]

cognitive behavioral therapy

corpus striatum

decision making

diffusion tensor imaging

dorsolateral prefrontal cortex

drug craving

electroencephalogram

electroencephalography

event related potential

executive function

frequency modulation

functional magnetic resonance imaging

functional neuroimaging

globus pallidus

human

inferior frontal gyrus

medial prefrontal cortex

methadone treatment

*methamphetamine dependence/dt [Drug Therapy]

*methamphetamine dependence/th [Therapy]

neurofeedback

neuromodulation

nuclear magnetic resonance imaging

nucleus accumbens

*opiate addiction/dt [Drug Therapy]

*opiate addiction/th [Therapy]

orbital cortex

priority journal

putamen

repetitive transcranial magnetic stimulation

residential care

review

reward

substantia nigra

subthalamic nucleus

theta rhythm

transcranial direct current stimulation

transcranial magnetic stimulation

treatment outcome

treatment response

ventral pallidum

ventromedial prefrontal cortex

withdrawal syndrome

working memory

methadone/dt [Drug Therapy]

naltrexone/dt [Drug Therapy]

deep transcranial magnetic stimulation

Structural magnetic resonance imaging

theta burst stimulation","methadone / drug therapy

naltrexone / drug therapy","abstinence

anterior cingulate

attention

brain depth stimulation

brain function

brain region

clinical outcome

*cocaine dependence / *drug therapy / *therapy

cognitive behavioral therapy

corpus striatum

decision making

diffusion tensor imaging

dorsolateral prefrontal cortex

drug craving

electroencephalogram

electroencephalography

event related potential

executive function

frequency modulation

functional magnetic resonance imaging

functional neuroimaging

globus pallidus

human

inferior frontal gyrus

medial prefrontal cortex

methadone treatment

*methamphetamine dependence / *drug therapy / *therapy

neurofeedback

neuromodulation

nuclear magnetic resonance imaging

nucleus accumbens

*opiate addiction / *drug therapy / *therapy

orbital cortex

priority journal

putamen

repetitive transcranial magnetic stimulation

residential care

Review

reward

substantia nigra

subthalamic nucleus

theta rhythm

transcranial direct current stimulation

transcranial magnetic stimulation

treatment outcome

treatment response

ventral pallidum

ventromedial prefrontal cortex

withdrawal syndrome

working memory","Recent methamphetamine and opioid use epidemics are a major public health concern. Chronic stimulant and opioid use are characterized by significant psychosocial, physical and mental health costs, repeated relapse, and heightened risk of early death. Neuroimaging research highlights deficits in brain processes and circuitry that are linked to responsivity to drug cues over natural rewards as well as suboptimal goal-directed decision-making. Despite the need for interventions, little is known about (1) how the brain changes with prolonged abstinence or as a function of various treatments; and (2) how symptoms change as a result of neuromodulation. This review focuses on the question: What do we know about changes in brain function during recovery from opioids and stimulants such as methamphetamine and cocaine? We provide a detailed overview and critique of published research employing a wide array of neuroimaging methods - functional and structural magnetic resonance imaging, electroencephalography, event-related potentials, diffusion tensor imaging, and multiple brain stimulation technologies along with neurofeedback - to track or induce changes in drug craving, abstinence, and treatment success in stimulant and opioid users. Despite the surge of methamphetamine and opioid use in recent years, most of the research on neuroimaging techniques for recovery focuses on cocaine use. This review highlights two main findings: (1) interventions can lead to improvements in brain function, particularly in frontal regions implicated in goal-directed behavior and cognitive control, paired with reduced drug urges/craving; and (2) the targeting of striatal mechanisms implicated in drug reward may not be as cost-effective as prefrontal mechanisms, given that deep brain stimulation methods require surgery and months of intervention to produce effects. Overall, more studies are needed to replicate and confirm findings, particularly for individuals with opioid and methamphetamine use disorders.Copyright © 2019 The Author(s)",NeuroImage: Clinical,2019
Deep brain stimulation in obsessive-compulsive disorder - case report of two patients.,"Beszlej J.A.

Siwicki D.

Fila-Witecka K.

Wieczorek T.

Piotrowski P.

Weiser A.

Tabakow P.

Rymaszewska J.","Treatment-resistant obsessive-compulsive disorder, deep brain stimulation","adult

alcoholism

allergic rhinitis

anxiety

article

*brain depth stimulation

capsula interna

case report

clinical article

cognitive behavioral therapy

decision making

depression

erotism

family history

fear

female

follow up

Global Assessment of Functioning

Graves disease

Hamilton Anxiety Scale

Hamilton Depression Rating Scale

human

implantation

informed consent

luteal insufficiency

male

mental disease assessment

neurosurgery

nucleus accumbens

*obsessive compulsive disorder/dt [Drug Therapy]

*obsessive compulsive disorder/su [Surgery]

*obsessive compulsive disorder/th [Therapy]

psychometry

religion

sexual harassment

single woman

Social and Occupational Functioning Assessment Scale

treatment failure

Yale Brown Obsessive Compulsive Scale

citalopram/dt [Drug Therapy]

clomipramine/dt [Drug Therapy]

clomipramine/tm [Unexpected Outcome of Drug Treatment]

fluoxetine/dt [Drug Therapy]

fluvoxamine/dt [Drug Therapy]

fluvoxamine/tm [Unexpected Outcome of Drug Treatment]

mood stabilizer/dt [Drug Therapy]

mood stabilizer/tm [Unexpected Outcome of Drug Treatment]

neuroleptic agent/dt [Drug Therapy]

neuroleptic agent/tm [Unexpected Outcome of Drug Treatment]

sertraline/dt [Drug Therapy]

trazodone/dt [Drug Therapy]

trazodone/tm [Unexpected Outcome of Drug Treatment]

valproic acid/dt [Drug Therapy]

valproic acid/tm [Unexpected Outcome of Drug Treatment]

cerebellar stimulator

deep brain stimulation electrode

implantable neurostimulator","citalopram / drug therapy

clomipramine / drug therapy / unexpected outcome of drug treatment

fluoxetine / drug therapy

fluvoxamine / drug therapy / unexpected outcome of drug treatment

mood stabilizer / drug therapy / unexpected outcome of drug treatment

neuroleptic agent / drug therapy / unexpected outcome of drug treatment

sertraline / drug therapy

trazodone / drug therapy / unexpected outcome of drug treatment

valproic acid / drug therapy / unexpected outcome of drug treatment","adult

alcoholism

allergic rhinitis

anxiety

Article

*brain depth stimulation

capsula interna

case report

clinical article

cognitive behavioral therapy

decision making

depression

erotism

family history

fear

female

follow up

Global Assessment of Functioning

Graves disease

Hamilton Anxiety Scale

Hamilton Depression Rating Scale

human

implantation

informed consent

luteal insufficiency

male

mental disease assessment

neurosurgery

nucleus accumbens

*obsessive compulsive disorder / *drug therapy / *surgery / *therapy

psychometry

religion

sexual harassment

single woman

Social and Occupational Functioning Assessment Scale

treatment failure

Yale Brown Obsessive Compulsive Scale","Obsessive-compulsive disorder (OCD) occurs in 2-3% of the general population. Due to its chronicity and high resistance to standard treatment, alternative clinical management based on neuroscientific findings has been sought. Deep brain stimulation (DBS) is a modern and dynamic approach in the treatment of OCD giving hope to patients who are resistant to current pharmacotherapy and psychotherapy based treatments. This paper presents two cases of patients diagnosed with refractory OCD who received DBS therapy with concurrent pharmacotherapy and cognitive behavioral psychotherapy (CBT). Both patients underwent a neurosurgical procedure to implant electrodes into the anterior limb of the internal capsule (ALIC) and nucleus accumbens (NAc). Before and after the start of the neurostimulation, patients underwent a clinical evaluation which consisted of a psychiatric examination and psychometric measurements (Y-BOCS, HAMA, HDRS, GAF, SOFAS). During the followup period, a blind attempt to switch off the neurostimulation was made. During the 6-month follow-up period, a significant reduction in the obsessive-compulsive, depressive and anxiety symptoms was achieved as well as an improvement in global patient functioning. The tolerance of DBS was found to be very good and no significant side effects were observed. The obtained results provide the basis for the implementation of this method in patients with OCD who are resistant to current treatment.Copyright © 2019 Polish Psychiatric Association. All rights reserved.",Psychiatria Polska,2019
